Fiyat,Ürün Adı,Kullanım Amaç,İşletim Sistemi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,İşlemci Markası,İşlemci Serisi,RAM,SSD Var mı,SSD Kapasitesi,GPU Modeli,GPU Var mı,USB 3.0 Var mı,USB 3.0 Adet,USB-C Var mı,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı
"36.753,00",Acer Nitro 5 AN515-58-503P Notebook (NH.QLZEY.00114),Oyun,Windows 11 Home,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i5,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4050,Var,3,Var,1,Var,,4 Hücreli
"44.999,00",MSI Thin GF63 12VF-632TR Notebook,Oyun,Windows 11 Home,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4060,Var,3,Var,1,Var,51.0 Wh,3 Hücreli
"30.999,00",Casper Excalibur G870.1245-DVA0X-B Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i5,32 GB,Var,500 GB,Var,NVIDIA GeForce RTX 4050,Var,3,Var,1,Var,61.0 Wh,4 Hücreli
"102.609,04",Dell Precision 5770 XCTOP5770EMEA-VP 1 Notebook,İş/Mobil,Windows 10 Pro,17.3 İnç,1920 x 1200 Piksel,60 Hz,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA RTX A2000,,,Var,4,,97.0 Wh,6 Hücreli
"57.999,00",HP Spectre x360 14-ef0000nt (78J53EA) 2'si 1 Arada,İş/Mobil,Windows 11 Home,13.5 İnç,1920 x 1280 Piksel,,Intel,Intel Core i7,32 GB,Var,2 TB,,,Var,1,Var,2,,66.0 Wh,4 Hücreli
"62.699,01",MSI WS66 11UKT-262TR Notebook,İş/Mobil,Windows 10 Pro,15.6 İnç,1920 x 1080 Piksel,60 Hz,Intel,Intel Core i7,32 GB,Var,1 TB,Var,NVIDIA RTX A3000,Var,1,Var,2,Var,99 Wh,4 Hücreli
"91.807,68",Lenovo ThinkPad P17 G2 20YU0023TX058 Notebook,İş/Mobil,Windows 11 Pro,17.3 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,24 GB,Var,2 TB,Var,NVIDIA RTX A2000,Var,2,Var,3,Var,94 Wh,
"42.549,00",Asus ROG Zephyrus G16 GU603ZU-N3021 Notebook,Oyun,FreeDOS,16 İnç,1920 x 1200 Piksel,165 Hz,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4050 120W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"91.472,41",Lenovo ThinkPad P17 G2 20YU0023TX026 Notebook,İş/Mobil,Windows 10 Pro,17.3 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,24 GB,Var,2 TB,Var,NVIDIA RTX A2000,Var,2,Var,3,Var,94 Wh,
"34.999,00",Casper Excalibur G870.1265-BFB0X-B Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4060,Var,3,Var,1,Var,61.0 Wh,4 Hücreli
"53.899,00",Asus ROG Zephyrus G16 GUW603ZU-NW3021F04 Notebook,Oyun,FreeDOS,16 İnç,1920 x 1200 Piksel,165 Hz,Intel,Intel Core i7,24 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4050 120W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"43.626,00",HP ProBook 440 G9 (6S6W2EA14) Ultrabook,İş/Mobil,FreeDOS,14 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,64 GB,Var,2 TB,Var,NVIDIA GeForce MX570,Var,3,Var,1,Var,51.0 Wh,3 Hücreli
"82.402,00",Dell Precision 3571 XCTOP3571EMEA_VP-2 Notebook,İş/Mobil,Windows 11 Pro,15.6 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA RTX A1000,Var,2,Var,2,Var,64.0 Wh,4 Hücreli
"37.399,00",MSI Bravo 15 C7VFK-252XTR Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,AMD,AMD Ryzen 7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4060 105W,Var,2,Var,1,Var,53.5 Wh,3 Hücreli
"37.999,00",Acer Predator Helios 300 PH317-56-79MX Notebook (NH.QGVEY.003),Oyun,FreeDOS,17.3 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 3060 140W,Var,3,Var,1,Var,90.0 Wh,4 Hücreli
"56.700,00",HP ZBook Power G9 (6B8F6EA) Notebook,İş/Mobil,Windows 11 Pro,15.6 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA RTX A1000,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
