Fiyat,Kullanım Amaç,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,RAM,SSD Kapasitesi,USB 3.0 Adet,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı,FreeDOS,Windows,macOS,AMD,Apple,Intel,AMD Ryzen 5,AMD Ryzen 7,Apple M2 Max,Intel Core i5,Intel Core i7,Intel Core i9,Intel Xeon W
72295.0,1,13.4,4096000.0,165,16,1024.0,1,1,1,56.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
72987.88,1,15.6,3686400.0,165,32,1024.0,3,3,0,80.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0
45776.91,1,17.3,2073600.0,144,64,1024.0,2,1,0,53.5,3.0,1,0,0,0,0,1,0,0,0,0,1,0,0
63797.0,1,17.3,3686400.0,165,32,2048.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
140500.0,0,17.3,8294400.0,165,32,2048.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
92999.0,1,17.3,2073600.0,360,32,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
78499.0,1,16.1,2073600.0,165,32,1024.0,2,2,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
51999.0,1,16.0,4096000.0,165,32,1024.0,3,3,0,80.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
63599.0,1,16.0,2304000.0,165,48,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
114999.0,1,16.0,3686400.0,165,32,1024.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
61999.0,1,16.0,2304000.0,165,48,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
57245.0,1,16.0,2304000.0,165,64,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0
64138.73,1,17.3,2073600.0,144,32,1024.0,2,1,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
56963.0,1,15.6,2073600.0,144,64,2048.0,3,1,0,73.15590725806452,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
56963.0,1,15.6,2073600.0,144,64,2048.0,3,1,0,73.15590725806452,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
66500.0,1,15.6,2073600.0,144,32,1024.0,2,1,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
55459.0,1,15.6,2073600.0,144,64,2048.0,3,1,0,73.15590725806452,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
55515.0,1,15.6,2073600.0,144,64,2048.0,3,1,0,73.15590725806452,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
50289.0,1,15.6,2073600.0,165,64,2048.0,3,1,0,57.5,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
57499.0,1,15.6,2073600.0,144,32,1024.0,2,1,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
